consent	1.1_grad_area	1.2_masters_area	1.3_masters_sub_area	1.4_doc_year	1.5_research_subarea	1.6_state_doc	1.7_has_posdoc	1.8_worked_unpaid	1.9_worked_paid	1.10_international_scholarship	1.11_years_international	1.12_SQB_affiliate	1.13_residency	1.14_work_sector	2.1_posdoc_experience	2.2_chage_institution_posdoc	2.3_international_motivation	2.4_institution_posdoc	2.5_posdoc_financing	2.6_posgrad_supervision	2.7_supervision_total	2.8_teaching_exp	2.9_posdoc_satisfaction	2.10_rights_duties_postdocs	3.1_months_worked_postdoc	3.2_institutions_postdoc	3.3_funding_postdoc	3.4_infrastructure_research	3.5_mentoring_experience	3.6_total_supervised	3.7_projects_coordination	3.8_funding_sources_projects	3.9_extension_projects: Number of extension projects coordinated	4.1_current_professor	4.2_current_position	4.3_start_teaching_experience	4.4_support_during_postgrad	4.5_total_months_postdoc	4.6_institutions_postgrad	4.7_funding_postgrad_postdoc	4.8_infrastructure_workplace	4.9_opportunity_research_extension	4.10_bolsist_students	4.11_total_supervised_students	5.1_publications_peer_reviewed	5.2_publications_last_5_years	5.3_publications_first_author	5.4_publications_corresponding_author	5.5_international_collaborations	5.6_patents_deposited	5.7_H_index_scopus	5.8_ethical_standards_workplace	5.9_witnessed_ethical_misconduct	5.10_disagreement_authorship_order	5.11_communication_channels	5.12_long_term_career_plans	5.13_satisfaction_career_plan	5.14_job_search_status	5.15_main_skills_develop	5.16_skills_developed_during_studies	6.1_age_range	6.2_language_proficiency	6.3_marital_status_co-habitation	6.4_children_status	6.5_state_born	6.6_gender_identity	6.7_self_classification	7.1_survey_result_newsletter
Li e concordo em participar da pesquisa	Farmácia, Farmácia-Bioquímica	Química Orgânica	Química Orgânica	2023	Química Orgânica	Rio Grande do Norte (RN)	Nenhum	Não	Não	Não	Nenhum	Não	Rio Grande do Norte (RN)	Trabalho informal																															4/jan	4/jan	4/jan	Nenhuma	Nenhuma	Nenhuma	Prefiro não responder	Sim	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	E-mail	No setor público, como professor de Ensino Superior	Sem plano de carreira	Sim, na academia	Escrita de artigos científicos	"Escrita de projetos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Liderança e gerenciamento laboratorial"	Acima de 40	"Inglês;Espanhol;Alemão"	Casado(a)	Sim, um filho	Rio Grande do Norte (RN)	Não binário	Pardo(a)	Sim
Li e concordo em participar da pesquisa	Farmácia, Farmácia-Bioquímica	Outros	Outros	2014	Química Medicinal	Minas Gerais (MG)	Sim, um pós-doutorado	Sim, até 6 meses	Não	Não	Nenhum	Não	Minas Gerais (MG)	Professor Universitário (Setor Público)											24-36 meses	Universidade federal	CAPES	Parcialmente Satisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos;Sim, doutorandos"	13/nov	Acima de 10	"CNPq;Fundações de amparo à pesquisa dos estados (FAPs);Outras"	Nenhum												Acima de 35	20-24	9/mai	9/mai	4/jan	2/jan	15/dez	Sim	Sim	Sim, em algumas das minhas publicações	"E-mail;Instagram;Webpage"	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Conduta ética na pesquisa;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Conduta ética na pesquisa;Produtividade pessoal;Comunicação e divulgação científica"	39-40	"Português;Inglês"	Solteiro(a)	Não	Minas Gerais (MG)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Inorgânica	Química Inorgânica	2017	Química Inorgânica	São Paulo (SP)	Sim, um pós-doutorado	Não	Não	Sim, no pós-doutorado	De 6 a 12 meses	Já fui associado (estou inativo)	Rio Grande do Sul (RS)	Professor Universitário (Setor Público)											12-24 meses	"Universidade federal;Universidades estrangeiras"	"CNPq;Fundações de amparo à pesquisa dos estados (FAPs)"	Parcialmente Satisfeito	Sim, aluno de iniciação científica	3/jan	2/jan	"CAPES;CNPq;Fundações de amparo à pesquisa dos estados (FAPs)"	Nenhum												30-35	14/out	9/mai	Nenhuma	9/mai	Nenhuma	16-19	Não sei	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	Presencial	No setor público, como professor de Ensino Superior e Pesquisador	Completamente Satisfeito	Não	"Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Conduta ética na pesquisa;Gerenciamento de carreira;Rede de contatos;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Gerenciamento de carreira;Produtividade pessoal"	33-34	"Português;Inglês;Espanhol"	Casado(a)	Sim, dois filhos	Não se aplica	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Analítica	Química Analítica	2020	Química Analítica	Minas Gerais (MG)	Nenhum	Não	Sim, sem carteira assinada	Não	Nenhum	Já fui associado (estou inativo)	Rio Grande do Sul (RS)	Pesquisador (Setor Público)																															4/jan	4/jan	4/jan	Nenhuma	Nenhuma	Nenhuma	0-3	Não sei	Prefiro não responder	Não, concordo com a ordem de autoria de todas as minhas publicações	Presencial	"No setor privado, como professor de Ensino Superior e Pesquisador;No setor privado, como pesquisador;No setor público, como professor de Ensino Superior;No setor público, como professor de Ensino Superior e Pesquisador;No setor público, como Pesquisador;No setor público, em cargos técnicos e administrativos de nível superior"	Parcialmente insatisfeito	Sim, em ambos (academia e fora dela)	"Gerenciamento de projetos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Rede de contatos;Produtividade pessoal"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Comunicação e divulgação científica"	33-34	Português	Solteiro(a)	Não	Minas Gerais (MG)	Mulher cisgênera	Pardo(a)	Sim
Li e concordo em participar da pesquisa	Química	Físico-Química	Química Analítica	2018	Química Analítica	São Paulo (SP)	Sim, dois pós doutorados	Não	Não	Sim, no doutorado e pós-doutorado	Acima de 24 meses	Já fui associado (estou inativo)	Fora do Brasil	Pós-doutorando no exterior	Acima de 48 meses	Sim, mudei de instituição mas permaneci no estado onde me titulei como doutor	Escolha própria, pois quero ter experiência no exterior	"Universidade federal;Universidades estrangeiras"	"Financiamento do exterior/estrangeiro;Fundações de amparo à pesquisa dos estados (FAPs)"	Não	1	Sim, como responsável de disciplina	Completamente satisfeito	"Recolhimento de impostos (Ex. imposto de renda);Jornada de trabalho monitorada (40-44 horas semanais);Seguro saúde;Seguro de vida;Afastamento remunerado por doença;Previdência social"																					30-35	20-24	15-19	4/jan	9/mai	2/jan	15/dez	Sim	Sim	Sim, em algumas das minhas publicações	"Presencial;Telefone;E-mail"	"No setor público, como professor de Ensino Superior;No setor público, como professor de Ensino Superior e Pesquisador;No setor público, como Pesquisador;No setor público, em cargos técnicos e administrativos de nível superior"	Satisfeito	Sim, na academia no exterior	"Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Liderança e gerenciamento laboratorial;Gerenciamento de carreira;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Pesquisa interdisciplinar"	37-38	"Português;Inglês;Espanhol;Italiano"	Casado(a)	Não	Espírito Santo (ES)	Homem cisgênero	Preto(a)	Não
Li e concordo em participar da pesquisa	Química	Físico-Química	Química Analítica	2022	Química Ambiental	Espírito Santo (ES)	Nenhum	Sim, acima de 12 meses	Sim, com carteira assinada	Não	Nenhum	Sim, sou associado	Espírito Santo (ES)	Professor de Ensino Básico e/ou Técnico/Tecnológico (setor Público)																				Rede Federal (Instituto Federal, CEFET, entre outros)	Professor concursado	Antes de iniciar a pós-graduação	Sim, fui contemplado com licença durante um período da pós-graduação	Não fiz pós-doutorado	Universidade federal	Sem remuneração	Parcialmente satisfeito	Sim	Não	Nenhum	9/mai	4/jan	4/jan	4/jan	Nenhuma	Nenhuma	0-3	Sim	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	E-mail	No setor público, como professor de Ensino Superior e Pesquisador	Satisfeito	Não	"Escrita de artigos científicos;Orientação de alunos/pós-graduandos;Transferência de conhecimento, inovação e empreendedorismo"	"Escrita de artigos científicos;Escrita de projetos;Colaboração e trabalho de equipe;Comunicação e divulgação científica"	Acima de 40	"Português;Inglês"	Divorciado(a)	Sim, dois filhos	Espírito Santo (ES)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Farmácia, Farmácia-Bioquímica	Química Orgânica	Química Orgânica	2015	"Produtos Naturais;Química Medicinal"	São Paulo (SP)	Sim, um pós-doutorado	Sim, de 6 a 12 meses	Sim, sem carteira assinada	Sim, no doutorado	De 6 a 12 meses	Não	Distrito Federal (DF)	Professor Universitário (Setor Público)											0-12 meses	"Universidade estadual;Outros institutos de pesquisa (públicos)"	"CNPq;Fundações de amparo à pesquisa dos estados (FAPs)"	Completamente satisfeito	"Sim, mestrandos;Sim, doutorandos"	3/jan	2/jan	Fundações de amparo à pesquisa dos estados (FAPs)	Nenhum												14/out	9/mai	4/jan	4/jan	4/jan	Nenhuma	7/abr	Não sei	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;E-mail;WhatsApp"	No setor público, como professor de Ensino Superior e Pesquisador	Satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Rede de contatos;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar"	Acima de 40	"Português;Inglês;Espanhol"	Casado(a)	Sim, um filho	São Paulo (SP)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Outros	Outros	2017	"Catálise;Físico-Química;Química Orgânica"	Santa Catarina (SC)	Nenhum	Sim, até 6 meses	Não	Não	Nenhum	Não	Santa Catarina (SC)	Funcionário público mas não pesquisador/professor																															4/jan	Nenhuma	4/jan	4/jan	Nenhuma	Nenhuma	0-3	Não se aplica	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;Telefone;E-mail;WhatsApp"	No setor público, em cargos técnicos e administrativos de nível superior	Parcialmente satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Gerenciamento de carreira;Rede de contatos;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	39-40	"Português;Inglês"	Casado(a)	Sim, um filho	Santa Catarina (SC)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Inorgânica	Química Inorgânica	2017	"Catálise;Química de Materiais;Química Inorgânica"	São Paulo (SP)	Sim, um pós-doutorado	Sim, até 6 meses	Prefiro não responder	Não	Nenhum	Já fui associado (estou inativo)	São Paulo (SP)	Professor de Ensino Básico e/ou Técnico/Tecnológico (setor Público)																				Escola (Ensino Fundamental e/ou Médio) pública	Professor em regime de contrato	Após a pós-graduação	Prefiro não responder	0-12 meses	Universidade estadual	"CAPES;CNPq"	Não se aplica	Não	Não	Nenhum	9/mai	9/mai	Nenhuma	9/mai	4/jan	Nenhuma	Prefiro não responder	Não se aplica	Sim	Sim, em algumas das minhas publicações	Não se aplica	"No setor privado, como professor da rede de Ensino Fundamental e Médio;No setor privado, como professor de Ensino Superior;No setor público, como professor da rede de Ensino Fundamental e Médio;No setor público, como professor de Ensino Superior;No setor público, como professor de Ensino Superior e Pesquisador"	Nem satisfeito, nem insatisfeito	Sim, em ambos (academia e fora dela)	"Escrita de artigos científicos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Equidade e diversidade;Comunicação e divulgação científica"	"Escrita de projetos;Pesquisa interdisciplinar;Conduta ética na pesquisa;Rede de contatos;Outros"	37-38	Inglês	Casado(a)	Não	Mato Grosso do Sul (MS)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Outros	Outros	2018	Química Ambiental	Minas Gerais (MG)	Sim, um pós-doutorado	Não	Não	Sim, no doutorado	Nenhum	Já fui associado (estou inativo)	Minas Gerais (MG)	Professor Universitário (Setor Público)											12-24 meses	Universidade federal	CAPES	Parcialmente Satisfeito	"Sim, mestrandos;Sim, doutorandos"	7/mai	Nenhum	Sem financiamento	Nenhum												15-19	4/jan	9/mai	4/jan	9/mai	4/mar	Prefiro não responder	Sim	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	"E-mail;WhatsApp"	"No setor público, como professor de Ensino Superior;Outros"	Parcialmente satisfeito	Sim, na academia	"Escrita de artigos científicos;Ensino/Lecionar;Gerenciamento de carreira;Transferência de conhecimento, inovação e empreendedorismo"	"Escrita de artigos científicos;Escrita de projetos;Orientação de alunos/pós-graduandos;Produtividade pessoal;Comunicação e divulgação científica"	37-38	Português	Solteiro(a)	Não	Minas Gerais (MG)	Mulher cisgênera	Branco(a)	Sim
